Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.85     0.00        1     0.00     0.00  luaT_init
  0.00     32.85     0.00        1     0.00     0.00  luaX_init
  0.00     32.85     0.00        1     0.00     0.01  luaX_setinput
  0.00     32.85     0.00        1     0.00     0.02  luaY_parser
  0.00     32.85     0.00        1     0.00     0.00  luaZ_init
  0.00     32.85     0.00        1     0.00     0.00  lua_atpanic
  0.00     32.85     0.00        1     0.00     0.00  lua_getglobal
  0.00     32.85     0.00        1     0.00     0.00  lua_load
  0.00     32.85     0.00        1     0.00     5.45  lua_newstate
  0.00     32.85     0.00        1     0.00     0.00  lua_pcallk
  0.00     32.85     0.00        1     0.00     0.00  lua_setwarnf
  0.00     32.85     0.00        1     0.00     0.01  luaopen_base
  0.00     32.85     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     32.85     0.00        1     0.00     0.00  luaopen_debug
  0.00     32.85     0.00        1     0.00     0.00  luaopen_io
  0.00     32.85     0.00        1     0.00     0.00  luaopen_math
  0.00     32.85     0.00        1     0.00     0.00  luaopen_os
  0.00     32.85     0.00        1     0.00     0.03  luaopen_package
  0.00     32.85     0.00        1     0.00     0.00  luaopen_string
  0.00     32.85     0.00        1     0.00     0.00  luaopen_table
  0.00     32.85     0.00        1     0.00     0.00  luaopen_utf8
  0.00     32.85     0.00        1     0.00     0.01  pmain
  0.00     32.85     0.00        1     0.00     0.00  singlestep
  0.00     32.85     0.00        1     0.00     0.00  skipcomment
  0.00     32.85     0.00        1     0.00     0.00  stack_init
  0.00     32.85     0.00        1     0.00     0.00  tablerehash

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 32.85 seconds

index % time    self  children    called     name
[1]     99.5   28.11    4.57       6+306946324 <cycle 1 as a whole> [1]
               26.40    4.48       1             luaV_execute <cycle 1> [2]
                1.71    0.05 306946270             luaD_precall <cycle 1> [10]
                0.00    0.02       9             luaD_rawrunprotected <cycle 1> [33]
                0.00    0.01       1             pmain <cycle 1> [43]
                0.00    0.01       1             luaD_protectedparser <cycle 1> [58]
                0.00    0.00      10             luaL_requiref <cycle 1> [83]
                0.00    0.00       1             luaL_openlibs <cycle 1> [93]
                0.00    0.00       1             docall <cycle 1> [97]
                0.00    0.00       1             luaL_loadfilex <cycle 1> [160]
                0.00    0.00      16             luaD_callnoyield <cycle 1> [204]
                0.00    0.00      10             lua_callk <cycle 1> [218]
                0.00    0.00       7             luaD_pcall <cycle 1> [229]
                0.00    0.00       1             lua_pcallk <cycle 1> [272]
                0.00    0.00       1             lua_load <cycle 1> [271]
-----------------------------------------------
                                   1             luaD_callnoyield <cycle 1> [204]
[2]     94.0   26.40    4.48       1         luaV_execute <cycle 1> [2]
                2.99    0.00 310000031/310000031     luaD_pretailcall [9]
                0.49    0.00 271946179/271946189     luaH_getshortstr [11]
                0.25    0.10 25000004/25000004     forprep [12]
                0.01    0.19  142858/142866      luaC_step [13]
                0.20    0.00 35000103/35000103     luaT_getvarargs [14]
                0.11    0.00 10000001/10000002     luaF_closeupval [16]
                0.04    0.04 10000001/10000001     luaF_findupval [20]
                0.02    0.04 10000005/10000006     luaF_newLclosure [23]
                0.02    0.00       4/4           luaT_adjustvarargs [41]
                0.00    0.00       6/203         luaV_finishset [70]
                0.00    0.00      29/29          luaG_traceexec [197]
